а	and,but,oh well,while
боа	boa
боб	bob,fava bean
бобик	bobik
бобина	bobbin,spool
бобо	bobo
бобовидный	bean-shaped
бобр	beaver
бобрик	baize,beaver,frieze
бобруйск	babruysk
бобслей	bobsleigh
бобтейл	bobtail
бобёр	beaver
бовин	bovin
бог	god
богадельня	almshouse,hospice
богатеть	grow rich
богатство	fortune,riches,richness,wealth
богатый	gorgeous,rich,rich man,wealthy
богатырь	hero
богач	rich man,the rich
богдан	bogdan
богдана	bogdana
богданов	bogdanov
богемия	bohemia
богемный	bohemian
богиня	goddess
богоборчество	theomachism,theomachy
боговдохновенный	god-inspired
богодухов	bohodukhiv
богомол	mantis,praying mantis
богоотступник	apostate
богоподобный	godlike
богородица	the
богородичный	deiparous
богословие	theology
богослужебный	liturgical
богостроительство	god-building
богота	bogota
боготворить	idolize,worship
богохульство	blasphemy,profanity
богохульствовать	blaspheme
богумил	bogumil
богумила	bogumila
бод	baud
боди	body,body-liner,bodysuit
бодибилдер	bodybuilder
бодибилдинг	bodybuilding
бодибордер	bodyboarder
бодишейминг	body shaming
бодров	bodrov
бодрость	cheerfulness,courage,moxie,peppiness,pertness
бодрствование	wakefulness
бодрствовать	be awake,keep awake,keep vigil,stay up
бодрый	brisk,cheerful,spry
боевик	action,militant
боевой	battle,bellicose,belligerent,fighting,militant
боеголовка	warhead
боеготовность	combat readiness,fighting capacity,military preparedness
боеприпас	ammo,ammunition
боеспособность	fight worthiness
боец	fighter
божена	bozhena
божественность	deity,divinity
божественный	divine,godly
божество	deity,divine being,divinity,godhead,idol
божий	divine
бой	battle,beating,boy,breakage,combat,engagement,fight,fighting,struggle
бойкий	alert,animated,busy,forward,glib,peppy,ready,resolute
бойко	boiko,boyko
бойков	boykov
бойкот	boycott
бойкотировать	blackball,boycott
бойлер	boiler
бойлерная	boiler-house,boiler-room
бойница	embattle,embrasure,loophole
бойня	butchery
бойскаут	boy scout,scout
бойфренд	boyfriend
бок	flank,side
бокал	champagne flute,glass,goblet,wine glass
боканец	boomkin
боквурст	bockwurst
боке	bokeh
бокила	boquila
бокс	box,boxing
боксать	to box
боксировать	box
боксит	bauxite
бокситовый	bauxitic
боксёр	boxer
болбой	ball boy,ballboy
болван	booby,dumbarse,dumbass,moron
болванка	stub
болгарин	bulgarian
болгария	bulgaria
болгарка	angle grinder,bulgarian
болгарский	bulgarian
болдырев	boldyrev
более	more
болезненность	soreness
болезненный	morbid
болезнетворность	pathogenicity
болезнетворный	malignant,morbific
болезнеустойчивый	disease-resistant
болезнь	disease,illness,sickness
болельщик	fan,supporter
болеро	bolero
болеслав	boleslas,boleslaus,boleslav
болеслава	boleslava
болеть	ache,be ill,be sick,get sick,hurt
боливиец	bolivian
боливийский	bolivian
боливия	bolivia
болид	fireball
болоньезе	bolognese
болонья	bologna
болотистый	boggy,marshy,swampy
болотить	to swamp
болотный	bog,hazel,marsh,swamp
болото	bog,marsh,mire,quagmire,slough,swamp
болотоведение	telmatology
болотоход	marsh buggy,swamp buggy
болтать	chatter,dangle,jabber,rock,shake up,stir,yabber
болтливость	garrulity,talkativeness
болтливый	garrulous,talkative
болтовня	chat,chatter,gossip,jabber,talk,yabber
болторез	bolt cropper,bolt cutter
болтун	addle egg,addled egg,babbler,chatterer,gabbler,gas-bag,talker,windbag
боль	ache,distress,hurt,mal,pain
больница	hospital
больной	bad,ill,patient,sick
больше	anymore,bigger,greater,larger,longer,more
большеберцовый	tibial
большевизм	bolshevism
большевик	bolshevik
большевичка	bolshevik
большегрузный	heavy,heavy-load
большерот	pelican fish,swallower
большеухий	macrotous
больший	bigger,greater
большинство	bulk,majority
большой	big,great,large,one
бомба	bomb
бомбардир	bombardier,bombardier beetle,goal-scorer
бомбардировать	bomb,bombard
бомбардировочный	bomber
бомбей	bombay
бомбировка	crown,crowning
бомбить	bomb
бомбодержатель	bomb rack,bomb suspension
бомбометание	bombing
бомбоубежище	bomb shelter
бомбёжка	bombing
бомж	bum,hobo,tramp
бона	bona
бонбоньерка	bonbonniere
бонвиван	bon vivant
бонелло	bonello
бонза	bonze
бонистика	bonistics,notaphily
бонитировка	appraisal,valuation
бонн	bonn
бонобо	bonobo
бонсай	bonsai
бонус	bonus
боп	bebop,bop
бор	boron,drill,millet grass,pine forest,tidal bore
бора	bora
борат	borate
борг	borg
бордель	brothel,whorehouse
бордерран	border run
бордо	bordeaux
бордюр	curb,curbstone
боренже	bohringer
боржовка	hogweed
боржоми	borjomi
борзая	borzoi,courser,greyhound,russian wolfhound
борзый	swift
борид	boride
борий	bohrium
борис	boris
борисёнок	borisyonok
бормашина	drill
бормотание	mumble,mumbling,mutter
бормотать	mumble
борнейский	bornean
борный	boric
боро	boro,borough
борогидрид	borohydride
борода	beard
бородавка	wart
бородатый	bearded
бородач	beard grass,bearded man,bearded vulture,bluegrass,bluestem
бородин	borodin
бородка	bit,small beard
борозда	furrow
бороздчатый	furrowed,grooved,striated
борона	harrow
боронить	harrow
бороновать	harrow
бороть	fight
бороться	fight,strive,struggle,wrestle
боррелиоз	borreliosis,lyme disease
борсетка	murse
борт	board,flight,side
бортинженер	flight engineer
бортмеханик	flight mechanic
борть	beehive
борфреза	burr,rotary file
борщ	borsch,borscht,borshch
борщевик	hogweed
борьба	fight,strife,struggle,wrestling
босанова	bossa nova
босиком	barefoot
босниец	bosnian
боснийка	bosnian
боснийский	bosnian
босоногий	barefooted
босс	boss
бостон	boston
босфор	bosphorus,bosporus
босяк	tramp
бот	bot,high galoshe,overshoe
ботани	botany bay
ботанизировать	botanise,botanize
ботаник	botanist,botany teacher,lame,nerd
ботаника	botany
ботанический	botanical
ботва	bullshit
ботдек	boat-deck
ботель	boatel
ботильон	ankle boots,shoe boots
ботинкометатель	shoe thrower
ботнет	botnet
ботсвана	botswana
ботулизм	botulism
ботулинический	botulinum
боулинг	bowling
боцман	boatswain,bootsmann,bosun
бочар	cooper
бочка	barrel,barrel roll,cask,drum
бочок	flank
бочонок	barrel,keg,small cask
бочче	bocce
боязнь	dread,fear,phobia
боян	boian
боярский	boyarsky
боярышник	haw,hawthorn
бояться	be afraid,be susceptible,dread,fear
бра	bra,brassiere
брабант	brabant
бравировать	brave,defy,flaunt,show off
браво	bravely,cheers,well done
бравурный	bravura
бравый	brave
брагин	bragin
брадобрей	barber
бразды	bit,bridle
браззавиль	brazzaville
бразилец	brazilian
бразилия	brasil,brazil
бразильский	brazilian
бразильянка	brazilian
брайан	brian
брак	marriage,matrimony,spoilage,waste
бракераж	certification,inspection,quality control,sorting
браковать	condemn
бракодел	bungler
браконьер	poacher
браконьерствовать	poach
бракосочетание	nuptials
брактеат	bracteate
брамин	brahmin
брандахлыст	swipes,wish-wash
бранденбург	brandenburg
брандер	fire ship
брандмауэр	firewall
брандмейстер	chief fireman
брандспойт	hose nozzle,nose-piece,nosepiece,nozzle,water cannon
бранить	abuse,comb,curse,rebuke,reprove,scold
браниться	bicker
бранный	abusive
бранша	branch
брань	abuse,abusive language,anglo-saxon,bad language,battle,blackguardism,blessing,curse,dirt,earful,fight,invective,invectives,vituperation
брас	brace
браслав	braslaw
браслет	bracelet
брасопить	brace
брассери	brasserie
брассист	breaststroke swimmer
брат	brother
братан	dude
братислава	bratislava
братишка	bro,brother,buddy,cadet,little brother
браток	bro,brother,man
братолюбие	brotherly kindness,brotherly love
братоубийственный	fratricidal
братоубийство	fratricide
братский	brotherly,fraternal
братство	brotherhood,fraternity
брать	take
браузер	browser
брахистохрона	brachistochrone,brachistochrone curve
брахицефалия	brachycephaly
брахманизм	brahmanism,brahminism
брачный	conjugal,matrimonial
брашпиль	windlass
бреве	breve
бревно	balance beam,beam,log
бред	delirium,delusion,gibberish,ravings
бредень	drag,dranet
бредить	rave
бреемый	shaggy
брежнев	brezhnev
брезгливость	disgust,fastidiousness,squeamishness
брезент	tarp,tarpaulin
брекчиевидный	brecciated
брекчирование	brecciation
брекчированный	brecciated
брекчировать	brecciate
брекчия	breccia
брелок	key ring,trinket
бремя	burden
бренд	brand
бренда	brenda
бренди	brandy
брендировать	brand
брение	rotting
бренность	caducity,frailty,perishable nature
бренный	mortal,perishable
брест	brest
брести	plod
брестский	brest
бретанский	breton
бретань	brittany
бретель	shoulder strap
бретелька	shoulder-strap
бретонка	breton
бретонский	breton
бречкин	brechkin
брешь	breach,gap
бриг	brig
бригада	brigade,crew,gang,squad,team
бригадир	brigadeer,brigadier
бригадмил	brigadmil
бригантина	brigandine,brigantine
бридж	bridge
бриджет	bridget
бриджит	bridget
бриджтаун	bridgetown
бризантность	brisance
бризер	breezer
бризоль	braciole
брик	brig
брикет	briquet,briquette,pellet,pill
брикетировать	briquette
бриллиант	cut diamond,diamond
бриллиантин	brilliantine
бриология	bryology
брисбен	brisbane
бристоль	bristol
британец	brit,britisher,briton
британия	britain
британский	british
бритва	razor
бритоголовый	skinhead
бриттани	brittany
бритый	shaven
брить	shave
бриться	shave
бритьё	shave,shaving
брифинг	briefing
бричка	light carriage
бровка	border,brovka,browka,edge,kerb,little eyebrow
бровь	brow,eyebrow
броги	brogue
бродить	ferment,ramble,roam,wander
бродяга	hobo,nomad,tramp,vagabond,vagrant,wanderer
бродяжничать	stroll,tramp
брожение	ferment,fermentation,rumblings
бройлер	broiler
бройлерный	broiler
брокат	brocade
брокер	broker
брокеридж	brokerage
брокколи	broccoli
бром	bromine
броманс	bromance
бромат	bromate
бромелайн	bromelain
бромид	bromide
бромизм	bromism
бромтетрациклин	bromtetracyclin
броневик	armored car,armored train,security van
бронежилет	bulletproof vest
бронекамера	armored chamber
бронекатер	armored boat,armored gunboat
броненосец	armadillo,battleship,ironclad
бронепоезд	armoured train
бронестекло	armor glass,bulletproof glass
бронещит	gun shield
бронза	bronze
бронзовый	bronze
бронирование	armor,booking,reservation
бронированный	armored
бронировать	armor,armour,book,reserve
бронислава	bronislava
бронтозавр	apatosaurus,brontosaurus
бронх	bronchus
бронхиальный	bronchial
бронхиола	bronchiole
бронхит	bronchitis
бронхолит	broncholith
бронхолитик	bronchial spasmolytic,bronchodilator,broncholytic
бронхорея	bronchorrhea,bronchorrhoea
бросаемый	throwable
бросать	abandon,desert,forsake,leave,quit,throw
бросить	abandon,drop,dump,give up,throw
броситься	rush,throw oneself
бростеп	brostep
брошка	brooch
брошь	brooch
брошюра	brochure
бруевич	bruevich
бруклин	brooklyn
брульон	outline
бруней	brunei
брунейский	brunei,bruneian
брус	balk,beam
брускетта	bruschetta
брусок	bar,hone,ingot,whetstone
бруствер	breastwork
брусчатка	block pavement,paving blocks,paving stones
брусья	balance,bars
бруталист	brutalist
брутальность	brutality
брутальный	brutal
брызгать	spatter,splash,sprinkle
брызговик	mudflap,mudguard
брыкать	kick
брыкаться	buck,kick,resist
брынза	sheep cheese
брэнд	brand
брюзга	grumbler
брюзжать	grumble
брюки	pants,trousers
брюнетка	brunette
брюссель	brussels
брюхан	fatso,potbellied man
брюхо	belly
брюшина	peritoneum
брякнуть	bang down,blurt out,clang,clank,clatter,plump
брянск	bryansk
бубен	tambourine
бублик	bagel
бубльгум	bubblegum
бубна	diamond
бубнить	mutter
бубновый	of diamonds
бубонный	bubonic
бугель	bow collector,front guard,j-bar,ski tow,t-bar,tow gripper
бугенвиллея	bougainvillea
бугорчатый	lumpy
бугурт	buhurt
будапешт	budapest
будапештец	budapester,budapestian
будапештка	budapestian
будапештский	budapestian
будда	buddha
буддизм	buddhism
буддист	buddhist
буддистский	buddhist
будильник	alarm,alarm clock,awaker,wake-up
будить	arouse,awaken,rouse,wake up
будка	booth,box,cabin,cage,face,mug
будний	everyday,ferial
будоражить	agitate,arouse,disturb,excite
будочник	watchman
будто	as if,as though
будуар	boudoir
будущее	future
будущий	future
будущность	future
буер	ice-boat,iceboat
бузанов	buzanov
бузина	elder,elderberry
бузить	brawl
бузотёр	troublemaker
бузульник	leopard plant,ligularia
буй	beacon,buoy
буйвол	buffalo
буйволица	buffalo
буйство	mischief,outrage,rage,tumult,violence
буйствовать	storm
бук	beech
букашка	bug
буква	character,letter
буквально	verbally,verbatim
буквальность	literalness
буквальный	literal
букварь	abc,primer
буквица	drop cap
буквоед	hairsplitter
букет	bouquet
буккальный	buccal
буккроссинг	bookcrossing
буклет	booklet,pamphlet
букмарклет	favelet
букмекер	bookmaker,ring
буковые	fagaceae
буколика	bucolic
буколический	bucolic,pastoral
букоцветные	fagales
букридер	bookreader
буксир	tugboat
буксировщик	tow truck
буксовать	skid,slip,stall
булава	club,indian club,mace
булавка	pin
булавоуска	owlfly
буланый	blue-dun,dun,isabel,isabella,sorrel
булгуннях	bulgunniakh,hydrolaccolith,pingo
булев	boolean
булевый	boolean
булеков	bulekov
булимия	bulimia
булинь	bowline
булка	bread roll,bun,buttock
булла	bull
буллинг	bullying
булочка	bun,roll
булочная	bakery
булочник	baker
бултых	plop
булыгин	bulygin
булыжник	cobble-stone,cobblestone
бульбарный	bulbar
бульвар	boulevard
бульдог	bulldog
бульдозер	bulldozer
бульдозерист	bulldozer operator
бульканье	gurgling
булькать	gurgle
бульон	broth
бумага	paper
бумагомарака	paper-stainer
бумаготворчество	paperwork
бумажка	bill,note,paper,paper money
бумажник	paper-maker,pocketbook,purse,wallet
бумажный	bureaucratic,cotton,paper
бумбокс	boom box,ghetto blaster
бунгало	bungalow
бунзенит	bunsenite
бункер	bunker,shelter
бункероваться	bunker,refuel
бункеровка	bunkering,coaling
бункеровщик	fueler
бунт	bale,bundle,mutiny,packet,rebellion,riot
бунтарский	rebel
бунтарь	rebel
бунтовать	rebel
бунчук	belltree
бур	boer,bore,borer,drill
бура	borax,bourrah,bura,burra,camel,tincal
буравить	bore,drill
буравчик	gimlet
буракумин	burakumin
буран	blizzard,snowstorm
бурат	reel
буратино	buratino,pinocchio
бурачник	borago
бургграф	burgrave
бургомистр	burgomaster,mayor
бургундский	burgundian
бурджанадзе	burjanadze
бурдуков	burdukov
бурдюк	waterskin,wineskin
буревестник	petrel,shearwater
буржуа	bourgeois
буржуазия	bourgeoisie,middle class
буржуазный	bourgeois
бурить	bore,drill
бурка	burka,felt cloak
буркалы	eyes
буркиниец	burkinabe
буркинийка	burkinabe
буркнуть	bark out,growl out,mutter
бурлак	barge hauler,burlak,towman
бурливый	seething,turbulent
бурнус	burnoose,burnous
буррито	burrito
бурт	clamp,roll collar
бурун	breaker,surf
бурунди	burundi
бурундиец	burundian
бурундийка	burundian
бурундук	chipmunk
бурундучиха	chipette
бурушаски	burushaski
бурцев	burtsev
бурый	brown
бурьян	ill weed,tall grass,tall grasses,weed,weeds,wild grass
бурят	buryat
бурятия	buryatia
бурятский	buryat
бусенник	adlay,coix
бусидо	bushido
буссоль	aiming circle,circumferentor,director,surveying compass
бустрофедон	boustrophedon
бусы	beads
бут	quarrystone,riprap,rough-stone,rubble,rubblestone
бутадиен	butadiene
бутан	bhutan,butane
бутафор	property man
бутафория	props,stage properties
бутен	butene,butylene
бутень	chervil
бутерброд	sandwich,toast
бутил	butyl
бутилен	butene,butylene
бутират	butyrate
бутлегер	bootlegger
буто	butoh
бутобетон	rubble concrete
бутон	bud,flower bud
бутоньерка	boutonniere,buttonhole,posy
буточник	watchman
бутуз	kiddy
бутылированный	bottled
бутылка	bottle,flask
бутылкомоечный	bottle washing
бутылочный	bottle
буфет	bar,buffet,refreshment room,sideboard
буффонада	buffoonery
буха	boukha
буханка	loaf
бухарник	fog,soft grass
бухгалтер	account manager,accountant,book-keeper,bookkeeper
бухгалтерия	accounting,accounting department,book-keeping,bookkeeping
бухнуть	bang,bump,thud,thump,thunder
бухта	bay,coil,gulf
бухштабировать	spell out
буш	bush
бушевать	rage,roar,storm
бушель	bushel
бушизм	bushism
бушкрафт	bushcraft
бушприт	bowsprit
бушующий	blustering,raging,storming
буян	brawler,rowdy,ruffian
бхуджангасана	bhujangasana
бхэкасана	bhekasana
бывать	happen,occur
бывшаяжена	exwife
бывший	ex,former
бык	bull,pier
быков	bykov
быль	fact,true story
быстрее	faster
быстренько	fast,quickly,rapidly
быстро	fast,quickly,rapidly,swiftly
быстровозводимый	prefabricated
быстроногий	fast
быстрорастворимый	quick-dissolving
быстрота	quickness,rapidity,speed
быстротечность	transience,transiency
быстроходный	fast,high-speed
быстрый	fast,quick,rapid,swift
быстрянка	riffle minnow
бытие	being,esse,existence,genesis
бытовой	domestic,everyday,household
быть	behave
бычий	beef,bovine,bull
бычков	bychkov
бычок	bull-calf,butt,goby
бьеф	reach
бьюик	buick
бьющийся	fragile
бэб	bab
бэг	golf bag
бэггер	baggyboy
бэггерский	baggy
бэкап	backup
бэкграунд	background
бэкдор	backdoor
бэкроним	backronym
бэкслеш	backslash
бэкхенд	backhand
бэр	ram
бэрчист	birchist
бэушный	secondhand
бювар	blotting pad
бюджет	budget
бюджетирование	budgeting
бюджетный	budgetary
бюллетень	bulletin
бюретка	buret,burette
бюро	bureau,office
бюрократ	bureaucrat
бюрократизировать	bureaucratize
бюрократизм	red tape
бюрократический	bureaucratic
бюрократия	bureaucracy,officialdom,red tape,the officials
бюст	bosom,bust
бюстгальтер	bra,brassiere
бязь	coarse calico
бёрдвотчер	birdwatcher
бёрдвочер	birdwatcher
в	into
вабик	call
вабить	call,lure
вавилонец	babylonian
вавилонский	babylonian,of babylon
вавилонянин	babylonian
вагабонд	vagabond
вагин	vaghin
вагина	vagina
вагинально	vaginally
вагинизм	vaginism,vaginismus
вагинит	colpitis,vaginitis
вагитус	vagitus
вагон	car,carriage,waggon
вагонетка	cart,lorry,tram
вагонка	batten,lining boards
вагоновожатый	motorman
вагоноопрокидыватель	car dumper
вагоностроительный	carbuilding
ваджрасана	vajrasana
вади	wadi
вадуц	vaduz
важенка	she-deer
важно	grandly
важность	importance,pompousness,self-importance
важный	big,grand,high,important,pompous,significant
ваза	pot,vase
вазелин	petroleum jelly,vaseline
вазоактивный	vasoactive
вазодилататорный	vasodilating
вазоконстриктор	vasoconstrictive agent
вазомоторный	vasomotor
вазон	flowerpot
вазопись	vase painting
вазорезекция	vasosection
вазэктомия	vasectomy
вайб	vibe
вайолет	violet
вайоминг	wyoming
вайпер	vaper,wiper
вайфай	wi-fi
вайфу	waifu
вайшешика	vaisheshika
вайшнавизм	vaishnavism
вайшья	vaishya,vaisya
вакансия	vacancy
вакантный	unoccupied,vacant
вакаяма	wakayama
вакрасана	vakrasana
вакса	blacking,shoe polish
ваксить	to black,to polish
вакуоль	vacuole
вакуум	vacuum
вакуумирование	evacuation,vacuumization
вакуумметр	manometer,vacuum manometer
вакуумный	air-free,evacuated,vacuum
вакх	bacchus
вакхальный	bacchanal,bacchantic,bacchic
вакханалия	bacchanal,bacchanalia
вакханка	bacchante
вакхический	bacchic,bacchical
вакцинировать	vaccinate
вал	bank,billow,gross output,rampart,roller,shaft
валежник	brushwood,deadfallen wood,fallen trees,windfallen trees
валенок	valenki,valenok
валенсия	valencia
валентин	valentine
валентина	valentine
валентинка	valentine
валентность	valence,valency
валентный	valent
валеный	felt
валериана	valerian
валерий	valery
валерия	valeria
валерьяна	valerian
валерьянка	valerian
валидация	validation
валидировать	validate
валидность	validity
валидный	valid
валин	valin
валкость	crankiness,shakiness
валлаби	wallaby
валлетта	valletta
валлиец	welsh,welshman
валлийский	welsh
валлон	walloon
валлонский	walloon
валов	valov
валовый	general,gross,mass
валок	windrow
валоризация	valorization
валтузить	beat,hit,thrash
валун	boulder
валунник	boulder bed
валух	wether
вальвулит	valvulitis
вальга	valga
вальдемар	valdemar
вальдшнеп	woodcock
вальхалла	valhalla,walhalla
вальцовка	forge-rolling,pinch trimming,rolling
вальядолид	valladolid
вальяжный	imposing,impressive
валюта	currency
валютный	currency
валять	drag,roll
валёк	battledore,loom,pilot fish,roller,swingle-tree
вамбрас	vambrace
вамп	vamp
вампир	vampire
вампиризм	vampirism
вампирический	vampiric,vampirical
вампирский	vampiric,vampirish
вампум	wampum
ван	king,prince,van,vanir
ванадат	vanadate
ванадиевый	vanadic
ванадий	vanadium
ванда	vanda,wanda
вандализация	vandalization
вандализировать	vandalise
вандализм	vandalism
вандализовать	vandalise,vandalize
ванесса	vanessa
ванилин	vanillin
ваниль	vanilla
ванильный	vanilla
ванна	bath,bathroom,tub
ванная	bath,bathroom
ванта	shroud
вантуз	plunger
вар	brew
варабимоти	warabimochi
варан	goanna,monitor lizard
варвар	barbarian,barbaric
варвара	barbara,varvara
варваризм	barbarism
варварски	barbarically,barbarously
варварский	barbarian,barbaric,barbarous
варез	warez
вареник	varenik
варенье	jam,preserve
вариабельность	variability
вариадический	variadic
вариант	variant
вариативность	variability,variation
вариация	variation
варикозный	varicose
вариометр	variable inductor,variometer
вариообъектив	zoomar
варистор	varistor
варить	found,weld
вария	grave accent,variya
варка	boiling,cooking
варламов	varlamov
варна	varna
варок	enclosure,pen
варрант	warrant
варсонофия	barsanuphia,varsonofiya
варум	varum
варуна	varuna
варух	baruch,varukh
варфарин	warfarin
варшава	warsaw
варьировать	modify,vary
варьяция	variation
варюшин	varyushin
варяг	varangian,varyag
варяжский	varangian,viking
васаби	wasabi
василий	basil,vasily
василина	vasilina
василиса	vasilisa
васильев	vasiliev,vasilyev,vassiliev
васильчиков	vasilchikov
василёк	cornflower
васкулярность	vascularity
васкулярный	vascular
вассал	liegeman,vassal
васьков	vaskov
вата	cotton wool,wadding
ватага	gang
ватерклозет	water closet
ватерпас	air level,balance level,bubble tube,plumb level,spirit-level
ватерполо	water polo
ватикан	vatican,vatican city
ватиканский	vaticanal,vaticanic,vaticanical
ватин	sheet wadding
ватман	whatman paper
ватсап	whatsapp
ватт	watt
вау	wow
вафельница	waffle iron,waffle-iron
вафлить	facefuck
вафля	cum,snot,spit,waffle
вахитов	vakhitov
вахлак	goon,jerk,lout
вахня	saffron cod
вахонин	vakhonin
вахта	bean trefoil,watch
ваххабизм	wahhabism
ваш	your,yours
вашингтон	washington
вашингтонский	washingtonian
ваятель	sculptor
ваять	sculpt,sculpture
вбежать	run in
вбирать	absorb,drink in,suck in
вблизи	close,near
вбрасывание	face off,face-off,throw-in
вброд	ford,wade
введение	administration,introduction,preamble,preface
введённый	introduced
ввергнуть	plunge
вверить	commit,entrust
вверх	upwards
вверху	above,overhead
вверять	commit,entrust
ввести	enter,introduce
ввиду	because
ввинчивание	screwdriving
вводить	enter,introduce
ввоз	bringing in,import
ввысь	upwards
вглубь	deep down,deep into,into
вглядываться	gaze,peer
вдалеке	afar,far away,far off
вдали	far away,far off
вдвое	half,twice,twofold
вдвойне	double,doubly,twice
вдвоём	both,two
вдевать	pass
вдобавок	moreover,withal
вдова	widow
вдоволь	enough,in plenty
вдоль	along,lengthways,lengthwise
вдосыть	in abundance,in plenty
вдох	breath,inhalation
вдохновенный	inspired
вдохновитель	mastermind
вдохновить	inspire
вдохновлять	encourage,inspire
вдохнуть	breathe in,inhale
вдруг	suddenly
вдругорядь	once again,once more,once over
вдумчивый	penetrating,thoughtful
вдыхательный	inspiratory
вдыхать	breathe in,inhale
вебка	webcam
веблог	weblog
веган	vegan,veganist
вегетарианец	vegetarian
вегетарианизация	vegetarianization
вегетарианка	vegetarian
вегетарианский	harmless,toothelss,vegetarian
вегетативный	vegetative
ведовство	witchcraft
ведомый	driven,known,second wingman,supporting aircraft
ведро	bucket,pail
ведун	sorcerer,witcher
ведущий	host
ведь	because,but,why
ведьма	hag,vixen,witch
ведьмак	sorcerer,warlock
ведёрко	bucket,pail
веер	blower,fan
веерный	cyclic,fan,fan-shaped,flabellate,phased,rotating,rotational
вежливость	civility,courtesy,politeness
вежливый	civil,courteous,gentle,polite
везде	anywhere,everywhere,throughout
вездесущий	omnipresent,ubiquitous
вездеходный	off-road
везение	fortune,luck
везти	carry,drive,move,transport
везучий	lucky
вейкборд	wakeboard
вейкбордер	wakeboarder
вейкбординг	wakeboarding
вейкбордист	wakeboarder
вейп	vape
вейсманист	weismannist,weissmannist
вейшнория	veyshnoria
век	age,century,lifetime
веко	eyelid,palpebra
вековечный	eternal,everlasting
вексель	promissory note
вектор	vector
векторный	vector,vectorial
веленевый	vellum
веленик	velenik
веленика	velenika
веленики	veleniki
велеть	order,tell
велиж	velizh
великий	big,great,large,tremendous
великобританец	briton
великобритания	great britain,united kingdom
великобританский	britannic,british
великовозрастный	overgrown
великодержавный	great-power
великодушие	magnanimity
великодушный	generous,magnanimous
великолепие	brilliance,magnificence,splendor,splendour
великолепно	splendidly
великолепный	excellent,gorgeous,magnificent,splendid
великомученик	grand martyr,great martyr,megalomartyr
велинит	welinite
велислава	velislava
величавость	majesty
величественно	magnificently
величественность	majesty
величество	majesty
величина	amount,celebrity,coryphaeus,luminary,magnitude,quantity,size,value
велогонщик	racing cyclist
велодром	velodrome
велоезда	cycling
велополоса	bike lane,cycle lane
велосипед	bicycle,bike
велосипедист	biker,cyclist
велосипедки	bicycling shorts,bike shorts,chamois,cycling shorts,knicks
велостоянка	bike stand
велотренажёр	exercise bicycle
велоцираптор	velociraptor
велошорты	bicycling shorts,bike shorts,chamois,cycling shorts,knicks
велум	veil,velum
вельбот	whaleboat
вельвет	corduroy,velveteen
вельзевул	beelzebub
вельможа	nobleman
велюр	velour
велярный	guttural,velar
вена	vein,vienna
венгерка	hungarian
венгерский	hungarian
венгр	hungarian
венгрия	hungary
вендинг	vending
вендор	vendor
венерический	venereal
венеролог	venereologist
венеротрясение	venusquake
венесуэла	venezuela
венесуэлец	venezuelan
венесуэлка	venezuelan woman
венесуэльский	venezuelan
венетский	venetan,venetian
венецианец	venetian
венецианов	venetsianov
венецианский	venetian
вензаболевание	venereal disease
веник	besom,broom
веничек	broom
венозный	venous
венок	garland,wreath
веносекция	venesection,venisection
венский	viennese
вентилировать	air,ventilate
вентиль	fan,gate,valve,valve handle
вентиляция	ventilation
вентрально	ventrally
вентральный	ventral
вентрикулография	ventriculography
венула	veinlet,venula,venule
венчание	wedding
венчурный	venture
вепонизация	weaponization
вепонизировать	weaponize
вепрь	aper,wild boar
вепсский	veps
вера	faith,vera
веракрус	veracruz
веранда	gazebo,pavilion,porch,veranda,verandah
верба	pussy-willow
вербализация	verbalization
вербально	verbally
вербальный	verbal
вербена	verbena,vervain
верблюд	camel,dromedary
вербовать	enlist,recruit
вервие	rope
веред	anbury
вереница	file,line,succession
вереск	bellow,heather,ling,shout,yell
вересковые	ericaceae,heath family
верескоцветные	ericales
веретено	spindle
веретеноклеточный	fusocellular,spindle-cell
веретенообразный	fusiform,spindle-shaped
верещатник	moorland
верещать	chirp,squeal
верзила	beanpole,lamppost
верить	believe,trust
верификация	checking,verification
вермахт	wehrmacht
вермикулитобетон	vermiculite concrete
вермишель	vermicelli
вермонт	vermont
вермонтец	vermonter
вермут	vermouth
вернерит	wernerite
вернисаж	vernisage
верноподданный	loyal,loyalist
верность	correctness,faith,faithfulness,fidelity,loyalty
вернуть	twirl,wind
вернуться	come back,get back,return,revert
верный	accurate,certain,correct,faithful,infallible,loyal,reliable,right,sure,true
верование	belief
вероисповедание	denomination,religion
вероломный	perfidious,treacherous
вероломство	betrayal,treachery,treason
вероника	speedwell,veronica
вероотступник	apostate,backslider,renegade
веротерпимость	tolerance,toleration
вероятно	probably
вероятность	probability
вероятный	likely,probable
верповать	warp
версинус	versine
версификатор	versifier
версия	version
верста	verst
верстак	workbench
верстатка	assembler,composing-stick
верстать	compose,impose,make up
вертел	skewer,spit,trochanter
вертеп	cave,den,haunt
вертеть	twirl,wind
вертеться	hang around,turn,twirl
вертикаль	vertical
вертикально	upright,vertically
вертикальный	vertical
вертихвостка	coquette,flirt,randy
вертишейка	wryneck
вертолет	helicopter
вертолёт	chopper,helicopter
вертопрах	flibbertigibbet,frivolous person,giddy person,scatterbrain,weathercock
вертушка	chopper,copter,helicopter,helo
верующий	believer,believing
верфь	naval yard,wharf,yard
верх	capote,cover,height,hood,outside,summit,top
